<title>次水心亭韻 主人。卽尹期中。</title>,<text>心長淸也水長寒。寒水淸心無兩般。潑潑地頭應有省。一江明月獨觀瀾。</text>
<title>平山山城。送別徐玄紀觀察關西。</title>,<text>舊使君作關西伯。惜別情同骨肉親。海鷰于飛山路迥。寒花空惱去留人。</text>
<title>次李內翰 景顔 吾家畫屛韻</title>,<text>歸心日夜繞鄕關。千里江山夢寐間。倩取龍眠移怳惚。時乘竹葉穩浮還。</text>
<title>又次鵰字韻</title>,<text>白欲渾頭紅欲消。邊愁入面鬢蕭蕭。何當還踏來時路。一擧搏天似决鵰。</text>
<title>次李學官</title>,<text>年老心閑不出門。藥爐書卷送朝曛。西來久作槐安夢。壠上無人管白雲。</text>
<title>次李內翰回韻</title>,<text>天開形勝奠雄關。粉堞逶迤積翠間。經略英豪何處去。連雲草樹鳥飛還。</text>
<title>次李內翰能字韻</title>,<text>持酒相酬謝不能。空將閒話對淸燈。邦人但識仙槎貴。詩格誰知後杜陵。其二歸田江上幾時能。春雨官齋坐翦燈。却向名塲試較量。君宜東閣我東陵。</text>
<title>又次干字回韻</title>,<text>春風無力薄陰干。冰雪堅頑未肎殘。三月邊城猶索莫。野花官柳怯餘寒。其二佳人睡起碧欄干。春雪紛紛落地殘。簷滴灑簾生料峭。羅幃深護一團寒。</text>
<title>又次關字韻</title>,<text>三家寥落晝常關。花竹烟波掩映間。非是功名能縛束。如何相逐不知還。</text>
<title>代臆鶴仙。次李內翰。</title>,<text>花褪殘粧柳羃烟。當時別淚落樽前。僊天豈憶湖州夢。女子深情恨宿緣。</text>
<title>代蟾臆</title>,<text>別院寥寥夜似秋。無端相送自生愁。僊槎一去空追憶。吟在蓬萊第幾樓。</text>
<title>次朴思菴西瓜韻</title>,<text>天然淑氣此偏增。赤子丹心便腹凝。薦進金盤可啓沃。休將外面議模稜。</text>
<title>席上。吟示諸君子。</title>,<text>歲暮山中雪正飛。厭厭亂酌欲無歸。笙歌諧笑方陶興。太守風流可拂衣。</text>
<title>次博川板上韻。戲擧子。兼示同席先生。</title>,<text>考試關西縣。盈庭蔚士林。風驅筆陣急。鼓動硯池深。怯火交相煎。飢鴞正苦吟。天公不借便。落日漸陰陰。</text>
<title>途中</title>,<text>寒食雲興路。東風草又生。日暄狐貉重。泥淨馬蹄輕。遊子愁行役。長亭管送迎。此間無好况。空起故園情。</text>
<title>次評事夜吟韻。仍敍雪意。</title>,<text>夜雪深盈尺。窓櫳奪月明。起看知麥瑞。眼纈覺魂驚。山郭忽奇絶。林花如水晶。乾坤渾一色。疑是蘂珠城。</text>
<title>紀行</title>,<text>時序屬寒天。客行悲暮年。萬山渾白雪。千落只靑烟。貿貿迎殘吏。搖搖颺小船。吟鞭還信馬。肩聳藥山前。</text>
<title>又用前韻</title>,<text>窮陰恒蔽天。急景欲凋年。凍雀投深樹。樵童趁暮烟。雲愁送客路。雪滿釣魚船。籬落空蕭索。寒砧萬木前。</text>
<title>贈孫文郁</title>,<text>藥山千古色。城郭萬雉雄。豪傑何年 缺。▣▣魚鳥空。人才時世降。興廢古今同。▣▣▣▣▣。▣論鐵瓮中。</text>
<title>送別書記歸覲</title>,<text>送子歸寧日。新春屬道中。還期知不遠。別恨奈無竆。沙峴句萌動。公山早蘂紅。相思何處是。雲樹渺江東。</text>
<title>癸丑除夕</title>,<text>老翁惜此夜。兀兀坐燈前。𤒺竹驅窮鬼。斟蘇讓少秊。傷今魂欲斷。憶昔淚如泉。只有新消息。梅花淺水邊。</text>
<title>寄贈鄭都事</title>,<text>共祖駒城李。俱爲外派親。適吾家食日。値君幕賓辰。寥落荒村僻。慇懃枉顧頻。江干相送罷。瞻望倍傷神。</text>
<title>寄呈金景受</title>,<text>分義自先世。交情可斷金。靑春到白髮。龍劒又牙琴。眞態要須保。時紛不許侵。吾儕餘幾箇。千里幸相尋。其二君爲錦宰日。我卧馬江濱。仙宦兼山水。幽居避世塵。公餘應拄笏。吟罷獨頤神。莫把閒忙別。須知摠是眞。</text>
<title>次水心亭主人韻</title>,<text>南江回轉處。十六翠屛開。水國滄波闊。風檣碧海來。却疑三島界。玆覺五湖杯。信美不移住。浮生良可哀。其二異境神慳秘。幽人此斲開。烟鬟江面立。雲物鏡中來。淸景供詩料。餘歡屬酒杯。沈吟更遍倚。塵世正堪哀。其三高山遺躅在。亭仰浩然開。仁智逍遙處。冠童風詠來。人亡別有恨。愁至且㘅杯。欲問虹橋斷。無因寄余哀。</text>
<title>次主人送別韻寄贈</title>,<text>湖海同攜手。風塵共拂衣。壯遊鵬水擊。淸契鳥雲飛。河上歸舟遠。山中信使稀。遙知相憶處。落日倚巖扉。</text>
<title>送別鄭休吉南海之行 號花崗。此一首。得於本孫師赫家。</title>,<text>謫客指南海。巖程亂雪飛。辭親方覺罪。省己不知非。聖意寬狂士。時論及布衣。從來君子事。日月照心腓。</text>
<title>奉呈李直長峒仙</title>,<text>哀歌求我友。莫肯和陽春。行世黃金盡。竆途白首新。移家德宿聚。獲近老仙人。鄙吝自今祛。寧論作比鄰。</text>
<title>秋雨</title>,<text>蕭蕭簷溜滴。添我小堂淸。暗助深秋候。潛催晩節英。庭梧愁共碎。窓竹夜偏鳴。遙憶南湖上。漫漫白水生。其二蓬廬唯一畒。活契富雙淸。抹摋寧論道。摧藏孰謂英。幸逢知己友。時發不平鳴。病裏復何事。藥爐送此生。</text>
<title>送朴叔夜 燁 赴平山任</title>,<text>適我南歸日。値君西赴官。窮途相送遠。白首此懷難。雲樹東陽路。漁舟白馬灘。馳思千里夜。眉月照心肝。</text>
<title>葛院道中。望瑞雲峯作。</title>,<text>彼美瑞雲山。讀書二十年。舊僧餘幾箇。新甍想煥然。回頭空悵望。欲往恨無緣。多少悲歡意。茫茫誰與傳。</text>
<title>奉寄尹榮川戚長</title>,<text>憶昔山中住。山中樂事多。秋魚釣淥水。春蕨煮陽坡。牕下爭棊戰。林間聽鳥歌。別來經幾載。惆悵費吟哦。</text>
<title>次博川板上韻</title>,<text>山城官柳何年種。爲愛春光早著林。樓外低枝垂細瑣。水頭交影漾靑深。小橋客去爭攀折。短檻人憑費朗吟。堪恨我來時索莫。不妨重到醉濃陰。</text>
<title>缺 韻</title>,<text>缺。俄然積雪滿空寒。▣▣▣▣▣▣▣。▣棹何人訪戴安。獨釣漁翁欹重笠。暮歸驢客駐吟鞭。天公嫌我無姸妓。幻出層層粉黛巒。</text>
<title>李學官來。適午睡方甘。覺來始知。以詩謝之。</title>,<text>病守神疲困黑甜。不知西日下前簷。覺來忽得家僮報。客去徒增駭汗霑。詩料未輸題鳳句。書林空對滿牀籤。袒荊欲謝慇懃意。雪擁溪橋朔吹嚴。</text>
<title>又步回韻</title>,<text>戰勝胷中意味甜。負暄終日坐茅簷。樵尋雪徑應嫌阻。兒戲冰毬不惜霑。煗酒聊將澆午渴。薰爐且復閱牙籤。世間名利非吾慕。願作成都賣卜嚴。</text>
<title>夜吟</title>,<text>陰山日落閉重城。刁斗嚴更達夜鳴。塞下征夫應坐甲。幕中奇計暗調兵。健兒喜獵宿原草。姸妓待人眠短檠。烏欲啼時霜月墮。萬家砧杵忽沈聲。</text>
<title>失題</title>,<text>缺 種梨千樹。滿院梨花帶雨新。香入酒杯浮欲動。雪沾詩興助如神。年光易逝繁華歇。元帥多情宴樂頻。遏密邇來長落莫。空敎弟子老三春。</text>
<title>送檢詳柳浩叔 活 赴千秋書狀</title>,<text>蔥秀辭親浿別兄。酒杯無賴制離情。暮雲汀樹搖懷抱。落日郵亭駐旆旌。萬國會同朝▣少海。一年行役筭歸程。百祥樓上黃花節。鐵瓮題輿可出迎。</text>
<title>境上出待從事族姪冠玉。以雨不至賦之。號北渚</title>,<text>幄幕高張候上賓。廚人如簇馬雲屯。無端凍雨泥淸道。持重行軒輟動輪。直待新朝升旭日。會看歸旆掃氛塵。爲言多少轅門士。無誤軍機逢彼嗔。</text>
<title>送閔進士歸覲昌城 次兵相韻</title>,<text>一牕明月看星文。把臂論心此別君。時事共垂鄕國淚。歸程遙指亂山雲。新恩到處知司馬。白牌攜來慰倚門。慶席光輝天借便。又當從事去監軍。</text>
